r,v,nh,n,u,nt,p,e,nd,m,d,i,wp,a,句子数,停顿数,句子破碎度,Success
1.504978663,4.274537696,0.39544808,4.031294452,2.108108108,0.119487909,4.086770982,0.035561878,0.324324324,0.544807966,2.26173542,0.182076814,3.477951636,0.881934566,703,1903,2.706970128,succ
1.240859232,2.830438757,0.356032907,2.454753199,1.420932358,0.087751371,2.755941499,0.007312614,0.195612431,0.344606947,1.271023766,0.092778793,2.389853748,0.444241316,4376,7960,1.819012797,unsucc
1.314741036,3.941567065,0.158034529,3.581673307,1.771580345,0.096945551,3.551128818,0.023904382,0.280212483,0.701195219,1.816733068,0.204515272,3.135458167,0.727755644,1506,3690,2.450199203,unsucc
1.325,3.472115385,0.134615385,2.548076923,1.379807692,0.097115385,3.567307692,0.021153846,0.227884615,0.432692308,1.815384615,0.208653846,3.188461538,0.599038462,1040,2635,2.533653846,succ
1.492254733,4.597246127,0.077452668,4.641996558,2.354561102,0.113597246,4.588640275,0.025817556,0.363166954,0.845094664,2.115318417,0.194492255,3.969018933,0.836488812,1162,3386,2.91394148,unsucc
2.185185185,5.553872054,0.372053872,4.873737374,2.808080808,0.132996633,5.585858586,0.021885522,0.515151515,0.818181818,2.764309764,0.203703704,4.845117845,1.074074074,1188,3988,3.356902357,unsucc
1.954248366,8.39869281,0.810457516,9.132897603,4.043572985,0.331154684,7.481481481,0.021786492,0.934640523,1.474945534,4.209150327,0.322440087,6.333333333,1.782135076,459,2031,4.424836601,succ
1.8,6.071428571,0.2,5.676190476,2.771428571,0.244444444,4.657142857,0.012698413,0.558730159,0.90952381,2.817460317,0.271428571,3.850793651,1.119047619,630,1981,3.144444444,succ
1.482384824,4.617886179,0.372628726,4.223577236,2.356368564,0.154471545,4.573170732,0.009485095,0.372628726,0.761517615,2.308943089,0.224932249,3.909214092,0.945799458,1476,5002,3.388888889,unsucc
1.274193548,4.158602151,0.706989247,5.301075269,2.168010753,0.182795699,4.25,0.00672043,0.543010753,0.713709677,2.036290323,0.169354839,3.459677419,0.809139785,1488,4354,2.926075269,unsucc
2.135440181,5.273137698,0.169300226,4.934537246,2.46275395,0.200902935,4.553047404,0.004514673,0.492099323,0.887133183,2.688487585,0.167042889,3.799097065,1.153498871,443,1463,3.30248307,succ
2.534722222,9.628472222,0.336805556,9.350694444,4.548611111,0.319444444,8.652777778,0.010416667,1,1.288194444,4.972222222,0.347222222,7.260416667,1.965277778,288,1685,5.850694444,succ
