小说名,标准化类符/形符比,类别
剑道师祖,0.278561,succ
剑魂帝尊,0.104095,unsucc
剑灵,0.22189,succ
剑领苍穹,0.118705,unsucc
剑南案逸,0.126164,unsucc
剑逆苍澜,0.096551,unsucc
剑逆苍穹,0.20307,succ
剑破梵天,0.108617,unsucc
剑气惊鸿,0.232259,succ
剑神重生,0.149523,succ
剑噬天下,0.159621,succ
剑仙陆,0.106303,unsucc
剑霄大陆,0.141707,unsucc
剑游诸天,0.195336,succ
剑斩证道,0.233647,unsucc
剑阵天下,0.123541,unsucc
剑之所指，法之所向,0.09727,unsucc
剑主苍穹,0.226001,succ
剑装,0.178633,succ
江湖墓,0.119433,unsucc
江山美人志,0.233826,succ
将夜,0.249686,succ
僵恋永恒,0.095703,unsucc
僵尸狂潮,0.082421,unsucc
降临深渊,0.268624,succ
降临异世,0.186963,succ
降临在电影世界,0.232702,succ
降临诸天世界,0.225305,succ
劫师,0.24424,succ
劫天命,0.111301,unsucc
戒指传奇,0.232912,succ
界魂天,0.114293,unsucc
金属中毒,0.227269,succ
进击的大内密探,0.215782,succ
进入电影,0.251535,succ
近战全能,0.106047,unsucc
禁典,0.213977,succ
惊仙,0.30158,succ
九彩记,0.189537,succ
九极黄昏,0.117511,unsucc
九界圣主,0.094823,unsucc
九龙神祖,0.124152,unsucc
九冥魔尊,0.112496,unsucc
九泉归来,0.229228,succ
九世生死,0.103265,unsucc
九天神霄,0.099517,unsucc
九霄狂帝,0.101658,unsucc
九幽龙戒,0.202725,succ
巨虫尸巫,0.252314,succ
巨龙变,0.169398,succ
绝代霸主,0.298531,succ
绝代神祖,0.094699,unsucc
绝代野仙,0.263793,succ
绝地求生剩者为王,0.098312,unsucc
绝对交易,0.203404,succ
绝世皇帝,0.263633,succ
绝世青云,0.120904,unsucc
绝世武尊,0.257437,succ
绝天，只为你,0.123594,unsucc
崛起漫画世界,0.241678,succ
崛起一万年,0.205009,succ
军火为王,0.22338,succ
军历纪元,0.103897,unsucc
君临三千世界,0.240739,succ
君临虚空,0.108682,unsucc
君临诸天,0.220115,succ
卡尔德拉斯大陆救世录,0.105323,unsucc
卡牌浪了,0.116252,unsucc
卡徒,0.211747,succ
开发次元世界,0.236717,succ
扛棺人,0.124548,unsucc
科技巨头,0.232151,succ
科技狂人,0.189044,succ
科技主宰,0.276955,succ
科学家的空间塔,0.198877,succ
空之战,0.173008,succ
恐怖都市,0.284519,succ
恐怖二次元,0.242566,succ
恐怖网文,0.24658,succ
控魂九天,0.121089,unsucc
跨时空的寻道之旅,0.106798,unsucc
快穿之男配不好当,0.143172,unsucc
狂霸神君,0.113478,unsucc
狂暴雷神,0.200447,succ
狂暴连击,0.22897,succ
狂法师,0.208451,succ
狂风剑客,0.096834,unsucc
狂蟒之灾,0.253005,succ
狂神,0.29897,succ
狂徒,0.202149,succ
狂武修罗,0.105764,unsucc
狂武战帝,0.181061,succ
旷世无双,0.123229,unsucc
傀儡师无痕,0.123083,unsucc
岚华梦,0.092347,unsucc
懒人历险记,0.119346,unsucc
乐园,0.168602,succ
雷霸天穹,0.118293,unsucc
雷痕,0.195669,succ
雷将战神,0.154969,unsucc
雷神王传,0.206712,succ
黎明时分之地狱狂欢,0.128496,unsucc
力震苍天,0.109915,unsucc
历史的尘埃,0.239827,succ
立道庭,0.294095,succ
莲花宝鉴,0.203002,succ
炼金狂潮,0.206378,succ
炼器狂潮,0.233579,succ
炼神龙帝,0.133489,unsucc
炼妖壶在异界,0.261083,succ
炼妖师,0.203342,succ
两界搬运工,0.193042,succ
烈空,0.22676,succ
猎场,0.234809,succ
猎国,0.213758,succ
猎魔：黎明之前,0.105511,unsucc
猎神剑,0.105579,unsucc
灵动星云,0.114973,unsucc
灵化九天,0.121529,unsucc
灵猎手,0.242982,succ
灵罗戒,0.206335,succ
灵天战域,0.068723,unsucc
灵武逆天,0.239364,succ
灵修无极,0.127087,unsucc
灵玄劫,0.090058,unsucc
灵域战神,0.12045,unsucc
灵之通神,0.13689,unsucc
凌驾永恒,0.200027,succ
凌天传说,0.21937,succ
凌羽无双,0.118312,unsucc
领世,0.092493,unsucc
流氓剑客在异世,0.245881,succ
流氓宗师,0.226904,succ
琉阳十氏,0.108176,unsucc
六界风云史,0.082671,unsucc
六界吞噬者,0.207367,succ
六万年之后,0.252724,succ
六域仙途,0.116777,unsucc
龙,0.245885,succ
龙傲至尊,0.106587,unsucc
龙帝霸主,0.084143,unsucc
龙凤珏,0.109645,unsucc
龙符,0.240515,succ
龙凰道,0.091108,unsucc
龙魂血玉,0.110154,unsucc
龙力使者之正与邪,0.110252,unsucc
龙骑战机,0.245922,succ
龙人祖庭,0.175147,succ
龙王戒,0.268679,succ
龙王怒吼,0.149421,unsucc
龙舞九天,0.179747,succ
龙在异界,0.247968,succ
龙战野,0.248156,succ
龙珠战场,0.225187,succ
炉石传说之末日游戏,0.091659,unsucc
乱世玄灵,0.118836,unsucc
乱世争仙传,0.153659,unsucc
掠夺万千,0.110012,unsucc
轮回：武道苍天,0.097433,unsucc
轮回千绝,0.117831,unsucc
轮回眼异世纵横,0.279553,succ
裸兰,0.200345,succ
马小翔的手机老婆,0.122107,unsucc
卖主角的小主神,0.265709,succ
满愿石,0.223815,succ
漫步世界的旅人,0.216104,succ
漫威世界新万磁王,0.251687,succ
漫威无双,0.236723,succ
漫威之变身达人,0.15314,unsucc
漫威之英雄系统,0.214112,succ
漫威中的法爷,0.223674,succ
莽苍记,0.127957,unsucc
蟒道渺渺,0.141373,unsucc
冒牌大将军,0.213279,succ
冒牌大英雄,0.206,succ
没有孤独没有生活,0.097942,unsucc
美丽人生,0.26293,succ
美漫大幻想,0.234679,succ
美漫老油条,0.281668,succ
美漫之大冬兵,0.224772,succ
美漫之多塔杂货铺,0.24455,succ
美漫之二次元逞凶,0.215687,succ
美漫之复制强者,0.248305,succ
美漫之小小炼宝师,0.22957,succ
美漫最强战力,0.21929,succ
萌军机娘,0.299365,succ
萌萌的世界之重新开始,0.131045,unsucc
猛将,0.270219,succ
猛兽领主,0.267241,succ
梦花源纪,0.11561,unsucc
梦幻空间,0.193187,succ
梦境复苏者,0.11149,unsucc
梦境世界大具现,0.176021,succ
梦里寻仙,0.088603,unsucc
梦三大陆,0.1,unsucc
梦天泪,0.117684,unsucc
密室脱逃,0.207958,succ
灭神煞,0.181223,succ
灭世之门,0.210637,succ
灭天祸神,0.106522,unsucc
明月心说,0.118991,unsucc
冥归,0.12786,unsucc
摸金天帝,0.271968,succ
魔帛,0.250882,succ
魔城领主,0.254893,succ
魔道第一,0.182153,succ
魔法工业帝国,0.195116,succ
魔法师,0.256279,succ
魔法世界传,0.142981,unsucc
魔法世界之机械召唤,0.222019,succ
魔痕,0.210849,succ
魔幻版主神成长日志,0.204669,succ
魔幻的未来,0.113171,unsucc
魔幻航母,0.20701,succ
魔幻星际,0.246153,succ
魔幻异闻录,0.209987,succ
魔机,0.249135,succ
魔机传说,0.232865,succ
魔权,0.257641,succ
魔神乐园,0.205229,succ
魔师,0.211552,succ
魔兽进化师,0.271597,succ
魔兽新品英雄,0.231103,succ
魔兽之我是阿克蒙德,0.269501,succ
魔瞳修罗,0.264662,succ
魔王归来,0.196029,succ
魔武登天,0.110204,unsucc
魔种起源,0.211604,succ
魔装,0.230627,succ
末道天尊,0.253154,succ
末法王座,0.177115,succ
末日暴徒,0.227185,succ
末日超级进化,0.121092,unsucc
末日帝国时代,0.097812,unsucc
末日恶魔入侵,0.108071,unsucc
末日钢铁战神,0.249981,succ
末日广播,0.13363,unsucc
末日技能树,0.194359,succ
末日卡牌大师,0.128587,unsucc
末日领主,0.16602,succ
末日轮回者,0.109563,unsucc
末日明灯,0.118057,unsucc
末日魔王传,0.095338,unsucc
末日土行者,0.214314,succ
末日新世界,0.196902,succ
末日战线,0.208269,succ
末日之无尽吞噬,0.100995,unsucc
末日最强人类,0.116812,unsucc
末世畅乐园,0.120651,unsucc
末世超级商人,0.234892,succ
末世超武系统,0.191441,succ
末世大回炉,0.211091,succ
末世大农场主,0.236326,succ
末世盗贼行,0.228453,succ
末世东游记,0.09172,unsucc
末世兑换高手,0.208943,succ
末世公寓,0.220989,succ
末世化学家,0.207568,succ
末世江湖行,0.202009,succ
末世竞技场,0.216038,succ
末世魔神游戏,0.203572,succ
末世前的大融合,0.116662,unsucc
末世狩猎者,0.197277,succ
末世无限穿越系统,0.064285,unsucc
末世也被玩坏了,0.092097,unsucc
末世游戏场,0.195061,succ
末世御灵师,0.208901,succ
末世御魔,0.12847,unsucc
末世仗剑行,0.134306,unsucc
末世之不要停下,0.108972,unsucc
末世之次元代行者,0.10712,unsucc
末世之红警崛起,0.229571,succ
末世之进化崛起,0.109627,unsucc
末世之进化之种,0.128737,unsucc
末世之恐怖风暴,0.177794,succ
末世之狂法,0.313067,succ
末世之热血传奇,0.171842,succ
末世之曙光战神,0.121894,unsucc
末世之我的世界,0.189665,succ
末世之无限魔化,0.116646,unsucc
墨甲,0.228756,succ
某美漫的一方通行,0.21068,succ
母皇,0.36009,succ
木法,0.114178,unsucc
慕容府主,0.114374,unsucc
拿无限当单机,0.255747,succ
拿着项羽菜刀闯异界,0.11606,unsucc
那年那片星空,0.099811,unsucc
奶爸的歼星舰,0.198878,succ
南天霸,0.210951,succ
能力凭租契约,0.210284,succ
能量,0.136339,unsucc
能源走私商,0.283337,succ
尼尔：机械之心,0.12586,unsucc
你别咬我,0.090547,unsucc
逆流少年,0.213497,succ
逆杀神魔,0.239977,succ
逆天斗魂师,0.272919,succ
逆天神鼠,0.112449,unsucc
逆天升级,0.218218,succ
逆天战王,0.11228,unsucc
逆无涯,0.129793,unsucc
逆星变,0.122234,unsucc
孽龙转生,0.25105,succ
牛叉就行,0.127042,unsucc
怒荡千军,0.260577,succ
怒瀚,0.187368,succ
虐杀,0.264915,succ
女神保护人,0.215644,succ
女神的导师,0.240016,succ
女神聊天群,0.130813,unsucc
女贼传奇,0.1873,succ
欧皇,0.197893,succ
攀登极境,0.113322,unsucc
咆哮星际,0.210203,succ
配天圣帝,0.142999,unsucc
漂流王,0.226354,succ
飘渺音途,0.129084,unsucc
平凡的超级英雄,0.193645,succ
平凡之心,0.187698,succ
破法之眼,0.23618,succ
破灵之劫,0.123687,unsucc
破灭时空,0.218947,succ
七界武神,0.21785,succ
七冥七殇七咒缚,0.097516,unsucc
齐天大圣之异界天帝,0.122627,unsucc
骑士的战争,0.228939,succ
气冲星河,0.242634,succ
弃僧,0.20099,succ
千机灵幻,0.133904,unsucc
乾坤无极宫,0.121753,unsucc
枪炮魔法师,0.239288,succ
强殖战士,0.270055,succ
青帝,0.224761,succ
青莲剑说,0.22486,succ
青铜王座,0.272521,succ
倾覆天座,0.148062,unsucc
请叫我英雄,0.120824,unsucc
求败,0.318622,succ
驱魔笔记,0.207656,succ
圈养全人类,0.242674,succ
全方位幻想,0.272919,succ
全见习职业,0.199486,succ
全能刺客,0.114683,unsucc
全能法神,0.185938,succ
全能魔法师,0.187515,succ
全能修炼戒指,0.079757,unsucc
全球怪物在线,0.180124,succ
全球进化,0.206779,succ
全神器大师,0.211837,succ
全宇宙最强,0.114155,unsucc
全职观众,0.106294,unsucc
全职家丁,0.163953,succ
全职业法神,0.276669,succ
拳皇异界纵横,0.227082,succ
燃夜之炎,0.146513,unsucc
人道天堂,0.256602,succ
人道至尊,0.201151,succ
人鬼缘,0.203056,succ
人皇,0.255697,succ
