@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.050978,0.052549,0.046962,0.031425,0.026187,0.024092,0.030203,0.026013,0.020426,0.019728,0.026536,0.015887,0.027409,0.020775,0.017458,0.009602,0.005412,0.015363,succ
0.04907,0.043534,0.037473,0.037706,0.036074,0.022612,0.030188,0.034268,0.026225,0.022379,0.019756,0.021097,0.019698,0.025759,0.022729,0.011306,0.003322,0.013929,unsucc
0.051426,0.054883,0.050994,0.036949,0.030683,0.033276,0.028738,0.020527,0.021608,0.021392,0.025497,0.020959,0.025281,0.01815,0.015341,0.010588,0.006698,0.011236,unsucc
0.053735,0.050789,0.045935,0.034841,0.030855,0.034148,0.025308,0.021841,0.018547,0.016987,0.020281,0.018027,0.020107,0.00988,0.012827,0.000173,0.000173,0.000173,succ
0.049789,0.041705,0.036561,0.038214,0.028109,0.018923,0.028844,0.029947,0.02517,0.020209,0.017086,0.016351,0.016902,0.015433,0.015065,0.008819,0.004777,0.01084,succ
0.064748,0.050868,0.04738,0.028995,0.033355,0.031175,0.025289,0.028196,0.024053,0.022963,0.014897,0.016641,0.017441,0.017005,0.01279,0.008866,0.005523,0.016423,unsucc
0.056336,0.049938,0.049582,0.034654,0.033766,0.028612,0.02879,0.019726,0.019371,0.021148,0.01866,0.02097,0.019726,0.015461,0.017771,0.010841,0.006042,0.014217,succ
0.058373,0.053314,0.054548,0.036653,0.033321,0.032581,0.0311,0.022831,0.021967,0.021597,0.023078,0.024065,0.020363,0.016043,0.017031,0.011601,0.003949,0.011847,unsucc
0.063034,0.053896,0.048904,0.027498,0.029021,0.028767,0.020983,0.020899,0.020052,0.022591,0.016922,0.020306,0.019883,0.015991,0.014553,0.016076,0.007784,0.019206,unsucc
0.000188,0.000188,0.000188,0.000188,0.000188,0.029119,0.000188,0.000188,0.000188,0.000188,0.018223,0.021041,0.015593,0.017471,0.01409,0.008266,0.004321,0.000188,succ
0.048328,0.05497,0.051077,0.035731,0.032982,0.040082,0.030921,0.020156,0.013514,0.017636,0.024737,0.018552,0.023591,0.014888,0.017636,0.008704,0.005039,0.011223,succ
0.049478,0.040643,0.038876,0.041928,0.031807,0.017992,0.027791,0.026506,0.022169,0.019438,0.01992,0.014137,0.018795,0.017349,0.017831,0.005944,0.003373,0.011727,succ
0.05866,0.062833,0.056805,0.036402,0.02875,0.033156,0.032692,0.024345,0.019244,0.01994,0.024345,0.01994,0.020867,0.018085,0.014375,0.01368,0.003478,0.015534,succ
0.06259,0.059311,0.054296,0.033465,0.037226,0.032019,0.025268,0.022471,0.01871,0.026328,0.017649,0.023917,0.018806,0.01572,0.016202,0.012537,0.005594,0.012923,unsucc
