小说名,标准化类符/形符比,类别
侠岚之寒,0.126848,unsucc
仙子饶命,0.232362,succ
萧炎百世轮回,0.116371,unsucc
笑傲之一剑轻,0.124741,unsucc
星辰变后传,0.204714,succ
星游记之多功能系统,0.09563,unsucc
学园孤岛之约定,0.112682,unsucc
炎韵之恋番外,0.1064,unsucc
妖帝成长日记,0.115159,unsucc
妖精的幻想之旅,0.252068,succ
妖精的尾巴之辅助系统,0.130094,unsucc
一切从斗破苍穹开始,0.19967,succ
一拳超人之帝王引擎,0.259404,succ
一拳唐僧,0.248305,succ
异世极品小兵,0.10855,unsucc
异世界的错误玩法,0.133605,unsucc
异世界的忍者传说,0.108352,unsucc
异世界转生九次的勇者,0.093719,unsucc
异世西游之我是唐僧,0.122503,unsucc
银色独角兽,0.234981,succ
英雄联盟之劫的穿越,0.12912,unsucc
英雄之名：超神学院,0.16438,unsucc
游戏王之超量使者,0.102321,unsucc
与诺亚融合,0.134222,unsucc
月下的恶魔城,0.177795,succ
宅时代,0.204248,succ
这个魔王不从良,0.240426,succ
征服动漫录,0.120683,unsucc
至高权座,0.135714,unsucc
中二患者发展史,0.12234,unsucc
终极X圣战,0.096259,unsucc
终极一班之赛亚传奇,0.126232,unsucc
终极一班之终极宇宙,0.088436,unsucc
众神眷恋幻想乡,0.256045,succ
重启之命运,0.198472,succ
重生海贼之火拳降世,0.233154,succ
紫龙战纪,0.138141,unsucc
自由轨迹,0.218821,succ
综漫——恶魔城,0.242598,succ
综漫之东皇陛下,0.13084,unsucc
综漫之花开院学院,0.10506,unsucc
综漫之诸界肆掠,0.12746,unsucc
钻石王牌之全能棒球手,0.203566,succ
钻石王牌之最强打者,0.245359,succ
罪恶王冠之祈罪樱集,0.114785,unsucc
罪域的骨终为王,0.269019,succ
