@relation pima_diabetes
@attribute '规则1' numeric
@attribute '规则2' numeric
@attribute '规则3' numeric
@attribute '规则4' numeric
@attribute '规则5' numeric
@attribute '规则6' numeric
@attribute '规则7' numeric
@attribute '规则8' numeric
@attribute '规则9' numeric
@attribute '规则10' numeric
@attribute '规则11' numeric
@attribute '规则12' numeric
@attribute '规则13' numeric
@attribute '规则14' numeric
@attribute '规则15' numeric
@attribute '规则16' numeric
@attribute '规则17' numeric
@attribute '规则18' numeric
@attribute 'class' { unsucc, succ}
@data
0.057007,0.039797,0.034112,0.034573,0.028273,0.017517,0.02059,0.026583,0.02351,0.02059,0.022741,0.00968,0.014751,0.016902,0.017517,0.014597,0.0189,0.011063,succ
0.063571,0.057907,0.056775,0.037661,0.031856,0.028741,0.027184,0.024211,0.026759,0.020813,0.020388,0.018547,0.015149,0.018406,0.016282,0.011185,0.006513,0.013592,succ
0.051803,0.042572,0.038336,0.038771,0.039639,0.021937,0.03182,0.035838,0.021612,0.019765,0.029757,0.023784,0.019983,0.024544,0.019222,0.009883,0.003258,0.009666,succ
0.053649,0.054741,0.048347,0.031036,0.032907,0.023706,0.03088,0.020119,0.024953,0.021054,0.020274,0.024017,0.020742,0.018403,0.017155,0.018247,0.002339,0.0131,succ
0.064149,0.063977,0.061735,0.040179,0.024832,0.036558,0.020176,0.022418,0.026039,0.026384,0.021728,0.018969,0.015865,0.017072,0.017244,0.010519,0.00138,0.017244,succ
0.062754,0.055401,0.049696,0.037018,0.027003,0.027003,0.01927,0.024594,0.024848,0.024468,0.021552,0.012804,0.014199,0.016861,0.015593,0.013311,0.011283,0.016227,succ
0.045879,0.051759,0.045459,0.020892,0.019423,0.04168,0.017533,0.013648,0.016588,0.018583,0.014068,0.016798,0.016903,0.010814,0.009974,0.017428,0.00378,0.011444,succ
0.054259,0.042806,0.043808,0.036507,0.032928,0.019184,0.024911,0.029921,0.021331,0.020759,0.025197,0.018325,0.014603,0.018898,0.017323,0.015605,0.006013,0.011739,succ
0.052592,0.043495,0.041874,0.037637,0.024427,0.020937,0.021186,0.027418,0.025299,0.020688,0.022682,0.01346,0.012463,0.011466,0.011964,0.011715,0.011216,0.012712,succ
0.05352,0.042816,0.037736,0.032475,0.039913,0.022496,0.027032,0.000181,0.025036,0.020319,0.000181,0.017054,0.016509,0.021045,0.016147,0.010885,0.008708,0.014695,succ
0.051756,0.054865,0.052689,0.027666,0.025023,0.032484,0.019117,0.023158,0.019894,0.024402,0.021449,0.016786,0.017563,0.013522,0.013366,0.015076,0.007616,0.011191,succ
0.060496,0.048858,0.048309,0.03711,0.025253,0.027119,0.019433,0.023166,0.027997,0.020531,0.020751,0.011968,0.011968,0.012407,0.011858,0.011748,0.01581,0.014603,succ
0.05519,0.049614,0.048327,0.036889,0.035602,0.022448,0.02445,0.023878,0.022877,0.027023,0.021876,0.015871,0.018015,0.019445,0.02016,0.013583,0.007578,0.012868,succ
